Code Status For :500,521,522,523,524,533,544,566,577,588	File Updated :02/11/2020
NPA	NXX	Use	OCN 	Company                                                     
500	464	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	465	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	466	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	467	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	468	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	469	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	470	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	471	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	472	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	473	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	474	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	475	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	476	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	477	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	478	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	479	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	480	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	481	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	482	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	483	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	484	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	485	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	486	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	487	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	488	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	489	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	490	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	491	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	492	AS	6010	NEW CINGULAR WIRELESS PCS, LLC                              
500	493	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
500	494	AS	9148	CELLCO PARTNERSHIP DBA VERIZON WIRELESS                     
